Method,M=1,M=5,M=10
Auror,96.22±2.92,98.54±0.30,98.95±0.27
FedAvg,97.71±0.62,98.73±0.19,98.99±0.17
FedProx,97.74±0.73,98.72±0.26,99.06±0.17
Krum,81.75±15.08,95.95±3.91,97.74±4.65
Median,96.39±2.07,98.71±0.24,98.99±0.07
SCAFFOLD,96.02±5.96,98.48±2.50,98.97±0.64
TrimmedMean,96.21±2.08,98.71±0.24,99.02±0.14
