,acc_mean,acc_mean,acc_mean,acc_range,acc_range,acc_range
alpha,0.1,0.5,1.0,0.1,0.5,1.0
algorithm,,,,,,
Auror,76.94541666666667,84.64937499999999,87.88979166666667,9.205416666666679,2.719374999999985,1.4897916666666617
FedAvg,79.890625,85.66166666666666,88.55041666666666,4.7706249999999955,4.921666666666667,1.5604166666666686
FedProx,80.03041666666667,85.62604166666667,88.40520833333333,5.780416666666667,4.49604166666667,0.9652083333333366
Krum,55.21125,75.50854166666667,83.17291666666668,12.96125,8.758541666666673,6.92291666666668
Median,70.05583333333334,84.95104166666665,88.115625,9.08583333333334,4.421041666666653,1.3456249999999983
SCAFFOLD,77.04270833333334,84.821875,88.224375,10.63270833333334,7.221874999999997,5.414375000000007
TrimmedMean,70.72416666666666,84.79708333333335,88.25416666666666,8.644166666666663,3.947083333333353,1.034166666666664
