Method,M=1,M=5,M=10
Auror,40.65±14.32,70.78±7.09,78.15±2.61
FedAvg,44.78±9.10,73.51±5.90,79.29±1.50
FedProx,,73.63±5.03,79.07±1.82
Krum,20.56±10.56,57.87±13.06,73.46±9.64
SCAFFOLD,47.66±13.26,74.94±9.52,80.56±4.75
