,acc_mean,acc_mean,acc_mean,acc_range,acc_range,acc_range
alpha,0.1,0.5,1.0,0.1,0.5,1.0
algorithm,,,,,,
Auror,40.646458333333335,70.78291666666667,78.15354166666667,14.316458333333337,7.09291666666666,2.613541666666677
FedAvg,44.77875,73.51020833333334,79.29291666666668,9.098750000000003,5.900208333333339,1.5029166666666782
FedProx,,73.62812500000001,79.06895833333333,,5.028125000000003,1.8189583333333275
Krum,20.560624999999998,57.873125,73.46145833333333,10.560624999999998,13.063125,9.641458333333325
SCAFFOLD,47.655208333333334,74.93750000000001,80.559375,13.255208333333336,9.517500000000013,4.749375000000001
